Issues / Notes	Ontology ID	parent class ID	parent class	Equivalence axiom	label	definition	is about	is about label (for reference only)	references	definition source	alternative label	Reported	term tracker item	entity type	created	alt definition	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym
	GENEPIO:0101933		altered host cell stress granule formation rate		increased host cell stress granule formation rate	A host cell stress granule formation rate that has been increased as compared to some reference host cell stress granule formation rate.								Class															
	GENEPIO:0101934		altered host cell stress granule formation rate		decreased host cell stress granule formation rate	A host cell stress granule formation rate that has been decreased as compared to some reference host cell stress granule formation rate.								Class															
	GENEPIO:0102077	COB:0000502	characteristic		host cell syncytium formation rate	The rate of syncytium formation among the cells of an infectious agent host.	GO:0006949	syncytium formation						Class															
	GENEPIO:0101898		variant functional effect|host cell syncytium formation rate		altered host cell syncytium formation rate	The rate of syncytium formation among the cells of an infectious agent host.								Class															
	GENEPIO:0101935		altered host cell syncytium formation rate		increased host cell syncytium formation rate	A host cell syncytium formation rate that has been increased as compared to some reference host cell syncytium formation rate.								Class															
	GENEPIO:0101936		altered host cell syncytium formation rate		decreased host cell syncytium formation rate	A host cell syncytium formation rate that has been decreased as compared to some reference host cell syncytium formation rate.								Class															
	GENEPIO:0102074		variant functional effect		altered infectious agent gene expression level	An infectious agent gene expression level that has been altered as compared to some reference infectious agent gene expression level.	GO:0010467	gene expression						Class															
	GENEPIO:0102075		altered infectious agent gene expression level		increased infectious agent gene expression level	An infectious agent gene expression level that has been increased as compared to some reference infectious agent gene expression level.								Class															
	GENEPIO:0102076		altered infectious agent gene expression level		decreased infectious agent gene expression level	An infectious agent gene expression level that has been increased as compared to some reference infectious agent gene expression level.								Class															
	GENEPIO:0102102		altered infectious agent gene expression level		altered infectious agent gene transcription level	An infectious agent gene transcription level that has been altered as compared to some reference infectious agent gene transcription level.								Class															
	GENEPIO:0102103		increased infectious agent gene expression level|altered infectious agent gene transcription level		increased infectious agent gene transcription level	An infectious agent gene transcription level that has been increased as compared to some reference infectious agent gene transcription level.								Class															
	GENEPIO:0102104		decreased infectious agent gene expression level|altered infectious agent gene transcription level		decreased infectious agent gene transcription level	An infectious agent gene transcription level that has been increased as compared to some reference infectious agent gene transcription level.								Class															
	GENEPIO:0102105		altered infectious agent gene expression level		altered infectious agent gene translation level	An infectious agent gene translation level that has been altered as compared to some reference infectious agent gene translation level.								Class															
	GENEPIO:0102106		increased infectious agent gene expression level|altered infectious agent gene translation level		increased infectious agent gene translation level	An infectious agent gene translation level that has been increased as compared to some reference infectious agent gene translation level.								Class															
	GENEPIO:0102107		decreased infectious agent gene expression level|altered infectious agent gene translation level		decreased infectious agent gene translation level	An infectious agent gene translation level that has been increased as compared to some reference infectious agent gene translation level.								Class															
	GENEPIO:0101896	COB:0000502	characteristic		protein conformation	The arrangement in space of the constituent atoms that determine the overall shape of a protein molecule.				https://www.sciencedirect.com/science/article/pii/B9780723611516500108				Class															
	GENEPIO:0102067		protein conformation|variant functional effect		altered protein conformation	A protein conformation that has been altered as compared to some reference protein conformation.								Class															
